Division,Country,Plant,Source,Packaging,Format,Brand,Product,Test Type,Test,Prod Date,Test Method,Min Spec,Max Spec,Result,Unit Of Measure,Acceptable,Lab Id,Coa Number
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,24-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347194470,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,21-Jul-14,EPA 3050/6020 USP730,-,0.2,0.2,µg/l,Yes,347244101,37231059-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,20-Aug-14,EPA 3050/6020 USP730,-,0.2,0.5,µg/l,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,24-Jul-14,EPA 3050/6020 USP730,-,0.2,0.05,µg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,25-Jul-14,EPA 3050/6020 USP730,-,0.2,0.1,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,25-Jul-14,EPA 3050/6020 USP730,-,0.35,0.34,pCi/L,Yes,347294868,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,24-Jul-14,EPA 3050/6020 USP730,-,0.35,0.19,pCi/L,Yes,347194429,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,11-Aug-14,EPA 3050/6020 USP730,-,0.35,0.12,pCi/L,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,14-Aug-14,EPA 3050/6020 USP730,-,0.35,0.32,pCi/L,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,20-Aug-14,EPA 3050/6020 USP730,-,0.35,0.33,pCi/L,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,25-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,14-Aug-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,24-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347194429,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,24-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347194470,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,24-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,11-Oct-14,EN15662/CFIA PMR-001,-,0.1,0.05,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,11-Oct-14,EN15662/CFIA PMR-001,-,0.1,0.1,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lead,14-Aug-14,EPA 3050/6020 USP730,-,0.2,0.1,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lead,25-Jul-14,EPA 3050/6020 USP730,-,0.2,0.1,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lead,11-Oct-14,EN15662/CFIA PMR-001,-,0.2,0.2,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lead,11-Oct-14,EN15662/CFIA PMR-001,-,0.2,0.2,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lithium,11-Aug-14,EPA 3050/6020 USP730,-,0.2,<0.1,µg/l,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lithium,24-Jul-14,EPA 3050/6020 USP730,-,0.2,<0.1,µg/l,Yes,347194429,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lithium,24-Jul-14,EPA 3050/6020 USP730,-,0.2,<0.1,µg/l,Yes,347194470,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Lithium,21-Jul-14,EPA 3050/6020 USP730,-,0.2,<0.1,µg/l,Yes,347244101,37231059-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Manganese,24-Jul-14,EPA 3050/6020 USP730,-,0.05,0.05,mg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Manganese,14-Aug-14,EPA 3050/6020 USP730,-,0.05,0.02,mg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Manganese,11-Aug-14,EPA 3050/6020 USP730,-,0.05,0.02,mg/l,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Manganese,11-Oct-14,EN15662/CFIA PMR-001,-,0.05,0.05,mg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Mercury,24-Jul-14,EPA 3050/6020 USP730,-,1.2,1,µg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Mercury,25-Jul-14,EPA 3050/6020 USP730,-,1.2,0.5,µg/l,Yes,347294868,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Mercury,25-Jul-14,EPA 3050/6020 USP730,-,1.2,0.5,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Mercury,20-Aug-14,EPA 3050/6020 USP730,-,1.2,0.5,µg/l,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Mercury,14-Aug-14,EPA 3050/6020 USP730,-,1.2,0.5,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Nickel,21-Jul-14,EPA 3050/6020 USP730,-,12,4.4,µg/l,Yes,347244101,37231059-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Nickel,14-Aug-14,EPA 3050/6020 USP730,-,12,7.03,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Nickel,25-Jul-14,EPA 3050/6020 USP730,-,12,3.47,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Nickel,11-Aug-14,EPA 3050/6020 USP730,-,12,4.56,µg/l,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Nickel,20-Aug-14,EPA 3050/6020 USP730,-,12,2.15,µg/l,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,25-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,21-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347244101,37231059-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,20-Aug-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,24-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,14-Aug-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thorium,25-Jul-14,EPA 3050/6020 USP730,-,0.005,<0.005,µg/l,Yes,347294868,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Salmonella,12-Sep-14,MFHPB 24,-,-,Negative,PER-SWAB,Yes,348330605,37366026-1
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Salmonella,21-Aug-14,MFHPB 24,-,-,Negative,PER-SWAB,Yes,347896839,37310365-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Silicium,13-Mar-15,-,-,5,4.65,mg/l,Yes,351705953,37828399-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Silicium,11-Oct-14,EN15662/CFIA PMR-001,-,5,4.05,mg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,23-Jan-15,AOAC 995.21,-,-,<1,CFU-100ML,Yes,350906328,37699917-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,2-Feb-15,MFHPB 22,-,-,<1,CFU-ML,Yes,351080173,37725870-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,2-Feb-15,MFHPB 22,-,-,<1,CFU-ML,Yes,351080141,37725870-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,20-Dec-14,AOAC 995.21,-,-,<1,CFU-100ML,Yes,350316695,37625247-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,20-Dec-14,AOAC 995.21,-,-,<1,CFU-100ML,Yes,350316685,37625247-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,20-Dec-14,AOAC 995.21,-,-,<1,CFU-100ML,Yes,350316691,37625247-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,5-Oct-14,AOAC 995.21,-,-,<1,CFU-100ML,Yes,348781251,37426570-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,21-Jan-15,MFHPB 22,-,-,<1,CFU-ML,Yes,350852112,37693759-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Boron,24-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347194429,37238361-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Boron,11-Aug-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347356284,37284554-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Cadmium,11-Aug-14,EPA 3050/6020 USP730,-,0.04,0.02,µg/l,Yes,347356284,37284554-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Chromium,24-Jul-14,EPA 3050/6020 USP730,-,0.02,0.02,µg/l,Yes,347194387,37238361-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Cobalt,20-Aug-14,EPA 3050/6020 USP730,-,40,22,µg/l,Yes,347765612,37307812-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Inorganic parameters - Traces elements,Cobalt,11-Aug-14,EPA 3050/6020 USP730,-,40,15,µg/l,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,5-Oct-14,AOAC 995.21,-,-,<1,CFU-100ML,Yes,348781264,37426570-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Production,Yeast ,16-Sep-14,MFHPB 22,-,-,<1,CFU-ML,Yes,348331489,37375861-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,56,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,52.3,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,65.9,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,66.5,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,52,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,11-Oct-14,EN15662/CFIA PMR-001,-,70,57.3,µg/l,Yes,348790995,37441029-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Volatile Organic Compounds,Chlorobenzene,13-Mar-15,-,-,70,46.9,µg/l,Yes,351705953,37828399-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,12-Aug-14,-,-,50,24,mg/l,Yes,347572282,37286726-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,9-Apr-15,-,-,50,25,mg/l,Yes,347765920,37901167-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,30-Jul-14,-,-,50,35,mg/l,Yes,347294385,37253571-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,12-Aug-14,-,-,50,45,mg/l,Yes,347572282,37286726-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,17-Nov-14,AOAC 982.14,-,50,37,mg/l,Yes,349147602,37541169-0
Danone Waters,Argentina                                                                       ,"Danone Waters- Planta Mendoza, Argentina","Hotel, West, Ojo de Agua                                                        ",PET                                                                             ,1.5 L                                                                           ,Villavicencio Still Water                                                       ,Danone Water  ,Artificials sweeteners,Acesulfame K,17-Nov-14,AOAC 982.14,-,50,30,mg/l,Yes,349147629,37541169-0
